Id,Sales
1,265.63113
2,338.0274
3,375.17294
4,297.93454
5,313.935
6,292.07608
7,361.45248
8,352.40878
9,278.03702
10,294.58057
11,331.15036
12,357.54883
13,318.60855
14,349.29993
15,292.45163
16,264.90164
17,292.1704
18,389.79382
19,425.18622
20,398.87686
21,345.38306
22,296.42804
23,308.03198
24,250.23924
25,372.60977
26,391.9391
27,382.84976
28,314.10938
29,277.67667
30,273.72952
31,289.55127
32,410.24173
33,329.58557
34,289.95413
35,291.43396
36,340.75916
37,249.57396
38,339.8665
39,262.5144
40,315.6559
41,335.4707
42,289.17798
43,339.07086
44,313.6279
45,271.76416
46,322.89557
47,333.91248
48,414.9384
49,314.2186
50,358.77585
51,349.88562
52,390.90414
53,322.2662
54,379.43298
55,263.7393
56,268.8766
57,316.25546
58,316.6899
59,374.03424
60,352.06503
61,292.31012
62,341.54434
63,325.61124
64,379.75238
65,246.64836
66,465.3149
67,271.31973
68,306.171
69,375.2764
70,296.04486
71,307.31052
72,311.30075
73,338.4164
74,286.65274
75,279.49744
76,346.75928
77,344.60916
78,343.84274
79,264.32892
80,341.51202
81,413.59137
82,320.2323
83,274.43463
84,328.39148
85,316.49985
86,341.2022
87,336.83487
88,250.22641
89,359.3493
90,312.15097
91,334.74545
92,342.38605
93,267.61844
94,314.23108
95,292.12485
96,339.25122
97,379.20267
98,284.89865
99,287.47095
100,314.9713
101,314.0356
102,287.81516
103,357.92737
104,313.11868
105,344.24878
106,293.78912
107,269.62476
108,315.93265
109,351.8089
110,362.65475
111,365.38416
112,369.1602
113,289.57825
114,371.34866
115,297.25403
116,335.48175
117,375.14386
118,328.4474
119,391.15646
120,354.4508
121,346.75928
122,307.58658
123,344.21603
124,352.90308
125,315.61423
126,249.08241
127,310.18488
128,345.3928
129,337.4337
130,277.70285
131,369.7256
132,339.1682
133,294.3028
134,308.38452
135,293.42432
136,338.9
137,344.74976
138,314.82767
139,287.89313
140,273.48926
141,321.15784
142,242.4566
143,318.42343
144,282.3884
145,376.93826
146,332.3969
147,329.60275
148,365.5718
149,294.07196
150,274.88297
151,436.3219
152,339.72888
153,357.83105
154,351.21457
155,287.4384
156,316.59583
157,292.00232
158,338.40393
159,431.07855
160,317.63364
161,229.55518
162,271.01855
163,363.86633
164,388.42294
165,308.5505
166,339.3786
167,272.58948
168,279.06885
169,228.26796
170,275.1513
171,308.67258
172,313.95602
173,338.59784
174,308.3562
175,352.90308
176,374.22958
177,347.89163
178,272.3566
179,394.11108
180,427.3386
181,308.9231
182,348.85385
183,287.6377
184,324.63562
185,255.73027
186,334.2656
187,294.84915
188,380.55963
189,338.08353
190,370.38266
191,373.6108
192,298.29828
193,367.39902
194,537.53534
195,416.99197
196,304.94315
197,228.45149
198,317.5601
199,398.509
200,292.814
201,464.27017
202,527.7435
203,234.43298
204,285.69482
205,387.63828
206,282.89395
207,396.17017
208,317.68985
209,339.97137
210,255.06291
211,337.97437
212,318.693
213,342.57126
214,369.89093
215,314.66052
216,308.48898
217,338.0457
218,287.5139
219,283.08728
220,357.0355
221,292.38632
222,316.22385
223,334.01852
224,304.20212
225,291.6997
226,336.75592
227,338.2997
228,365.6052
229,338.9486
230,341.3128
231,293.78265
232,243.1755
233,310.51547
234,342.4011
235,288.9864
236,264.07654
237,377.37805
238,331.5361
239,388.4133
240,321.7524
241,301.5858
242,285.48834
243,262.7824
244,403.97998
245,290.25424
246,358.31863
247,515.7887
248,339.72528
249,317.4096
250,282.64618
251,267.61844
252,332.10995
253,255.6757
254,318.49213
255,406.37747
256,295.46515
257,507.2931
258,482.13135
259,283.10858
260,335.5573
261,283.672
262,326.54993
263,297.6364
264,416.99197
265,342.58502
266,375.78165
267,266.51926
268,330.93747
269,271.81287
270,369.63687
271,335.17078
272,308.9231
273,325.78568
274,309.57846
275,373.20795
276,385.96262
277,295.79965
278,413.38046
279,336.97086
280,396.10385
281,267.27197
282,286.09164
283,297.1059
284,391.64783
285,332.98865
286,350.50073
287,335.157
288,373.73715
289,261.29156
290,358.09274
291,320.006
292,252.1634
293,496.10257
294,528.82574
295,337.3898
296,357.3364
297,385.30316
298,410.6979
299,413.73032
300,296.62357
301,341.17365
302,307.6165
303,367.75845
304,253.82256
305,300.99124
306,295.8949
307,293.1405
308,342.40848
309,269.54593
310,267.1487
311,307.32523
312,245.36357
313,270.64487
314,299.47934
315,321.82755
316,382.4795
317,369.60046
318,338.5383
319,318.43546
320,316.76096
321,434.69824
322,350.6457
